id,speaker,line_text,"Sentiment (Negative=-1, Neutral=0, Positive=1)"
54023,Erin,Hey! You better do 'Faith.' You get me?,
15490,School Official,We teach our students that character counts.,
58822,Andy,But I just'it's in the past. And I feel like we shouldn't',
57246,Mark,"[gets guitar] What if Bob Dylan was your boss? I'm gonna do Dylan! [playing guitar and imitating Bob Dylan] Pam Halpert is my name, and I've been at Dunder Mifflin for seven years? Eight years? Eight years, man. Got the Dunder Mifflin blues. Got the Pam Halpert blues. Got the pra- went to the Pratt Institute...You have children?",
9468,Phyllis,Ass.,
51075,Darryl,[in a feminine voice] Hi. This is Alex.,
57083,Phyllis,"Andy, don't. No good can come from snooping.",
45826,Meredith,Maybe we're supposed to do it with people in our group.,
39149,Shelby,Thanks you.,
56398,Dwight,"Guys, it wasn't up to me. Rolf, come on. Guys, it wasn't my choice! I would have hired all of you! Gabor, Gabor.",
380,Michael,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,
54707,Angela,What?,
35848,Jim,"Careful...  Wow, she just shoves the nipple right in there.",
38128,Michael,"Yeah, I noticed that.",
43201,Creed,Thanks mom.,
42364,Ryan,"Yes, I'll do it.",
20840,Michael,Yeah... ugh. She's... [gets up and leaves] you don't deserve her. Alright.,
19721,Dwight,I think I cut my penis on the lid!,
29284,Pam,A guarantee of what?,
49331,Erin,I'm ready.,
17634,Michael,Woooo![laughs] I think Ryan has a gay crush on me.,
19770,Michael,"Oh my God, oh my God, that was very close.",
53954,Nellie,"It's my pill. I have an anxiety issue and I'm not ashamed of that, But I'm not loving the idea of Dwight having that information. I once saw him yell at Phyllis for sneezing wrong.",
53134,Jim,He plays piano?,
17923,Jim,"Yeah, he's definitely something.",
25224,David Wallce,"Michael, please lets listen for a second.",
41493,Michael,"Well, then he's not a senator.",
15577,Andy,Yeah.,
56577,Toby,There were two or three 'sorry's in there. [mumbles along with Nellie],
18633,Michael,"See ya, drive safely.",
29466,Dwight,"Michael has been talking to my biggest client. Master and apprentice pitted against one another for the fate of the greater Scranton area paper market.  So it's not exactly like 'Highlander,' but still...",
45012,Andy,"No, this is horrifying.",
58778,Dwight,"So, all the numbers adding up?",
58812,Andy,"Just stop forgiving me, David, please? This is my last chance to honor what is best inside myself. What if I took a dump on your new car?",
18286,Dwight,Ohhhhhh!,
467,Pam,[stirs] Mmmm.,
55677,Kevin,Taste test? I'm in!,
45364,Erin,"I think Andy should be the boss. He's just so great. If I'm being objective, then Darryl, of course.",
14584,Ryan,I've missed you too...,
48599,Erin,[slurring slightly] It's that I wish Jessica was dead.,
19483,Dwight,[whispers] Oh D.,
2666,Kevin,You mean where my desk is?,
17362,Oscar,"You're doing great Michael, look at you go!",
18583,Kevin,Good pizza.,
56728,Nellie,"Everyone, it is our last day here with no manager. I say we go to the mini mall. Clark, you will be my fake boyfriend so I can get the discount.",
37069,Pam,"Mm. [walks into bathroom, Meredith is using her brest pump] Meredith!",
29567,Michael,That's very rude.,
56983,Andy,You're not?,
17955,GPS,Make the next right turn.,
7422,Michael,"I would love to live in New York someday. It's a big dream of mine. Work for corporate, with Jan. It'd be awesome. Go to Broadway shows, eat hot dogs. Scranton is great, but New York, is like Scranton on acid, no on speed, no on steroids. [Michael sees it's the end of a street.] OK, umm, I think, that's either the Hudson or the East, so we're back,  should be back this way. There's a lotta pressure on me right now. It's like Michael Jordan, in the NBA finals. Or, like Stormin' Norman Schwarzkopf, and this presentation is desert storm and as soon as it's over, we will not have to deal with those Iraqis anymore. Let's do it.",
26590,Prince Grandfather,I'll be right back I'm just going to grab my tool box.,
48426,Dwight,Is it by the Sea of Tranquility?,
54264,Erin,Alright.,
57918,Pam,"Well yeah, but what if we turned our mike packs?",
48215,Robert,[on phone] Say hello grandma.,
16641,Jan,So... [exhales] there are a lot of things that I would like to do differently.,
19647,Michael,"That's the problem, that's the problem.  We need rock n' roll Pam, rock n' roll.  Alright? [sees Toby in a bow-tie holding a plate full of tea cups] Oh... My... God, that's why people are leaving.  I- I have no words.",
3063,Michael,Mmm-hmm.,
4723,Michael,"Oh, did not!",
