id,speaker,line_text,"Sentiment (Negative=-1, Neutral=0, Positive=1)"
42945,Gabe,Thank you all for meeting on such sort notice.,
14418,Karen,And it didn't end well.,
12401,Karen,"Oh cool, yeah.",
46509,Andy,"Great....Well, it'll bring a fresh new perspective to the warehouse.",
30676,Holly,"That is correct! [both run to another side of the stage, acting out a different scene] How did you know that?! [pantomimes electrocuting Michael]",
20268,Michael,Six years and two months.,
13511,Michael,"No, just stop. Stop. Stop doing it. You're going to drive me crazy.",
55907,Nellie,"So, how are we getting on with our grand social media initiative?",
42724,Michael,Well I understand that but this is a $45 watch.,
29375,Dwight,[sighs] It's firm.,
5770,Michael,Having fun?,
18727,Dwight,"Hey.  The way I see it, it's getting late, and the only thing standing between you and a warm bed is my friend's pizza discount.  So whattaya say?  [pizza guy stares]  Oh, so that's how it's gonna be.  Well, I can stay here all night if I have to.  I've done it before.",
27622,Jim,We do.,
8519,Oscar,"No, I have not.",
53151,Pam,"Yes. But there's, wait, oh, there's a funny ending to that story. I can't remember.",
1198,Toby,There's some right there.,
37547,Michael,"Ooh! Things with Donna are so... oh-ho-ho! They're going great. I, uh... we're just clicking on every level. Emotionally and sexually and... orally and I am not used to relationships going this well. I'm actually having trouble focusing on my job. And I like it!",
51927,Robert,Well you can't say no.,
21016,Michael,Return.,
58299,Jim,Hey. I just wanted to say that you woke up early with the kids and let me sleep and I really appreciate that.,
53209,Pam,I think maybe there actually is something I don't know about Jim.,
38765,Pam,"Thanks! Yeah, so I'm just going to take care of things around the office and get paid a reasonable salary. You believe that, right?",
40242,Lady,Good morning.,
33040,Erin,"He heard you made a big splash at the meeting. Oh, my God. That was so mean what I just said and I didn't mean it. It was Kevin and Meredith put me up to it.",
3956,Jim,"Well, Dwight's a purple belt, so...",
5520,Bob Vance,"Bob Vance, Vance Refrigeration.",
39978,Andy,"Hey, Danny.",
52411,Dwight,I'm gonna activate the seismic failsafe. We'll be stuck between floors for hours. [pants fall down] Oh. [Jim runs in] My pants fell down.,
24989,Michael,You want one of your own? I can hook you up.,
47696,Kelly,[sees photo of Mike Tibbets] Eww!,
24742,Dwight,[laughs] I think you know.,
34793,Eric,Thank you. It's nice to meet you all.,
13544,Michael,Guilty.,
23116,Michael,"Darryl, would you do the honors?",
5792,Dwight,[singing] What do you do with a drunken sailor? What do you do with a drunken sailor? What do you do with a drunken sailor early in the morning?,
21368,Dwight,I got floor.,
28879,Andy,"I mean, to be fair, I was the first one to talk about it, but...",
38335,Jo,Hahahahahaha.,
45494,Gabe,All right.,
37578,Pam,You could start by concluding this meeting.,
35127,Michael,"Okay, put it on my card.",
38528,Erin,Hey! Ice cream afternoon!,
52467,Pam,"No, I will not.",
50627,Andy,"Morning, everyone.",
32596,Pam,It really was.,
51790,Andy,"Whoa. No. Are you kidding? You were so sexy. Just the thought of you last night, like, crazy turns me on. It just didn't last night.",
5734,Captain Jack,"I am Captain Jack, I am captain of the ship. I'm also captain of anyone who sets foot on the ship. [to boarding passengers] Hi, welcome aboard.",
10998,Michael,[points at woman] What does that look like to you?,
42232,Creed,Mmmhm.,
52495,Jim,"Oh, man, I'd have to sell beets. Probably submit them for competitions.",
43783,Michael,Ok.,
56139,Jim,"I'm doing this just for me? Is that what I'm doing? I'm doing it just for me. If that's what you think, then this is a really sad night. But you know what? I got to go. Okay?",
57143,Pete,"For a long time, Andy.",
17237,Michael,Shhh...,
37710,Michael,We are?,
59717,Kelly,"Uck, Look at all this mud. Can you imagine if I had worn my Jimmy Choos? I just saved you 600 bucks mister.",
35448,Pam,Five minutes apart.,
21915,Graphics guy,Are you interested in graphic design?,
32023,Kevin,It's gonna be fine. It's gonna be fine. Pam's here. [knocks on Pam's door] Pam? [knocks again],
45489,Meredith,"You pick a crappy boss, you're responsible for my crappy life. [leaves]",
30674,Holly,"For one hundred dollars, where did Dunder meet Mifflin? A.) On easy street, B.) a tour of Dartmouth College, C.) they never met, D.) brushing their teeth?",
5590,Creed,Okay.,
48310,Susan,Andy?,
8238,Michael,Let's get the party started.  Not the way I taught you! [Michael joins in],
24385,Holly,"Oh, well....look, we could always call, or email, or write. I should get all your email addresses.",
5027,Jim,I think Stanley just coughed.,
59639,Jim,I know Dwight misses Kevin. I saw him make his portrait out of a Wooly Willy. Tomorrow's his wedding day. You can't be anything but happy on your wedding day.,
29237,Ryan,I'm texting. I don't want to get my fingers sticky.,
