id,speaker,line_text,Sentiment
57516,Pam,"Hey, hey, guys. Wait. Before we accept these cupcakes, I think we need to have a conversation privately in the conference room. Don't eat the cupcake.",-1.0
18147,Michael,"And the same thing goes for quarterly reports.  They are unreadable.  They're just numbers and boring and blech.  So what I was thinking is that maybe we should have some sort of graphic, like if we have a bad quarter, put in a storm cloud? And... when we have a good quarter, fireworks? Or a racecar? [everyone groans] Doesn't have to be a racecar.  Use your imagination.",-1.0
45659,Ryan,"No, you're right, Pam, let's just leave him to the welfare system and let that handle it.",1.0
34143,Erin,That's why you have a 'Sent Mail' folder.,0.0
50108,Dwight,"[on phone] Yes, a complete inability to pass gas, pervert. Ugh, yeah, it's tender. It can't be appendicitis, I eat more than enough bacon. Okay, what poison mimics the symptoms of appendicitis? Oh, you don't know? Hold on. [to Jim] What kind of poison did you use?",-1.0
3191,Ryan,"Okay... uh, sorry?",0.0
26280,Andy,Do you love him?,1.0
27046,Pam,I think he meant personal day.,0.0
35483,Erin,[naming race horses]  Affirmed.  Seattle Slew.  Secretariat.  Citation.  Assault.  Count Fleet.  Rollaway.  War Admiral.  Omaha.  Gallant Fox...  And...  I know this.  Uh...  The jockey was Johnny Loftus.  Sired by Star Shoot.,0.0
47550,Andy,That is so mom.,0.0
8769,Sheriff,Mace! You... You've been carrying around weapons-grade Mace?,-1.0
9939,Michael,"I'm sorry, man. I'm sorry. Hey, you know what? I will talk to her.",-1.0
37904,Kevin,Boi-oi-oi-ing,1.0
42945,Gabe,Thank you all for meeting on such sort notice.,1.0
14418,Karen,And it didn't end well.,-1.0
12401,Karen,"Oh cool, yeah.",1.0
46509,Andy,"Great....Well, it'll bring a fresh new perspective to the warehouse.",1.0
30676,Holly,"That is correct! [both run to another side of the stage, acting out a different scene] How did you know that?! [pantomimes electrocuting Michael]",1.0
20268,Michael,Six years and two months.,0.0
13511,Michael,"No, just stop. Stop. Stop doing it. You're going to drive me crazy.",-1.0
55907,Nellie,"So, how are we getting on with our grand social media initiative?",0.0
42724,Michael,Well I understand that but this is a $45 watch.,-1.0
29375,Dwight,[sighs] It's firm.,1.0
5770,Michael,Having fun?,1.0
18727,Dwight,"Hey.  The way I see it, it's getting late, and the only thing standing between you and a warm bed is my friend's pizza discount.  So whattaya say?  [pizza guy stares]  Oh, so that's how it's gonna be.  Well, I can stay here all night if I have to.  I've done it before.",1.0
27622,Jim,We do.,1.0
8519,Oscar,"No, I have not.",-1.0
53151,Pam,"Yes. But there's, wait, oh, there's a funny ending to that story. I can't remember.",1.0
1198,Toby,There's some right there.,0.0
37547,Michael,"Ooh! Things with Donna are so... oh-ho-ho! They're going great. I, uh... we're just clicking on every level. Emotionally and sexually and... orally and I am not used to relationships going this well. I'm actually having trouble focusing on my job. And I like it!",1.0
51927,Robert,Well you can't say no.,0.0
21016,Michael,Return.,0.0
58299,Jim,Hey. I just wanted to say that you woke up early with the kids and let me sleep and I really appreciate that.,1.0
53209,Pam,I think maybe there actually is something I don't know about Jim.,-1.0
38765,Pam,"Thanks! Yeah, so I'm just going to take care of things around the office and get paid a reasonable salary. You believe that, right?",1.0
40242,Lady,Good morning.,1.0
33040,Erin,"He heard you made a big splash at the meeting. Oh, my God. That was so mean what I just said and I didn't mean it. It was Kevin and Meredith put me up to it.",-1.0
3956,Jim,"Well, Dwight's a purple belt, so...",1.0
5520,Bob Vance,"Bob Vance, Vance Refrigeration.",0.0
39978,Andy,"Hey, Danny.",0.0
52411,Dwight,I'm gonna activate the seismic failsafe. We'll be stuck between floors for hours. [pants fall down] Oh. [Jim runs in] My pants fell down.,-1.0
24989,Michael,You want one of your own? I can hook you up.,1.0
47696,Kelly,[sees photo of Mike Tibbets] Eww!,-1.0
24742,Dwight,[laughs] I think you know.,1.0
34793,Eric,Thank you. It's nice to meet you all.,1.0
13544,Michael,Guilty.,-1.0
23116,Michael,"Darryl, would you do the honors?",1.0
5792,Dwight,[singing] What do you do with a drunken sailor? What do you do with a drunken sailor? What do you do with a drunken sailor early in the morning?,0.0
21368,Dwight,I got floor.,0.0
28879,Andy,"I mean, to be fair, I was the first one to talk about it, but...",0.0
38335,Jo,Hahahahahaha.,1.0
45494,Gabe,All right.,1.0
37578,Pam,You could start by concluding this meeting.,0.0
35127,Michael,"Okay, put it on my card.",0.0
38528,Erin,Hey! Ice cream afternoon!,1.0
52467,Pam,"No, I will not.",-1.0
50627,Andy,"Morning, everyone.",1.0
32596,Pam,It really was.,0.0
51790,Andy,"Whoa. No. Are you kidding? You were so sexy. Just the thought of you last night, like, crazy turns me on. It just didn't last night.",1.0
5734,Captain Jack,"I am Captain Jack, I am captain of the ship. I'm also captain of anyone who sets foot on the ship. [to boarding passengers] Hi, welcome aboard.",1.0
10998,Michael,[points at woman] What does that look like to you?,0.0
42232,Creed,Mmmhm.,0.0
52495,Jim,"Oh, man, I'd have to sell beets. Probably submit them for competitions.",-1.0
43783,Michael,Ok.,0.0
56139,Jim,"I'm doing this just for me? Is that what I'm doing? I'm doing it just for me. If that's what you think, then this is a really sad night. But you know what? I got to go. Okay?",-1.0
57143,Pete,"For a long time, Andy.",0.0
17237,Michael,Shhh...,0.0
37710,Michael,We are?,0.0
59717,Kelly,"Uck, Look at all this mud. Can you imagine if I had worn my Jimmy Choos? I just saved you 600 bucks mister.",-1.0
35448,Pam,Five minutes apart.,0.0
21915,Graphics guy,Are you interested in graphic design?,0.0
32023,Kevin,It's gonna be fine. It's gonna be fine. Pam's here. [knocks on Pam's door] Pam? [knocks again],1.0
45489,Meredith,"You pick a crappy boss, you're responsible for my crappy life. [leaves]",-1.0
30674,Holly,"For one hundred dollars, where did Dunder meet Mifflin? A.) On easy street, B.) a tour of Dartmouth College, C.) they never met, D.) brushing their teeth?",1.0
5590,Creed,Okay.,0.0
48310,Susan,Andy?,0.0
8238,Michael,Let's get the party started.  Not the way I taught you! [Michael joins in],1.0
24385,Holly,"Oh, well....look, we could always call, or email, or write. I should get all your email addresses.",1.0
5027,Jim,I think Stanley just coughed.,-1.0
59639,Jim,I know Dwight misses Kevin. I saw him make his portrait out of a Wooly Willy. Tomorrow's his wedding day. You can't be anything but happy on your wedding day.,1.0
29237,Ryan,I'm texting. I don't want to get my fingers sticky.,0.0
